player_id,season,appearances,minutes_played,goals,assists,yellow_cards,red_cards,name,date_of_birth,sub_position,position,foot,height_in_cm,age_at_season_end,market_value_eur
108725,2022,25,816,3,0,0,0,Chris Wood,1991-12-07,Centre-Forward,Attack,right,191.0,31.561943874058862,8000000.0
110864,2022,9,810,0,0,1,0,Sam Johnstone,1993-03-25,Goalkeeper,Goalkeeper,right,193.0,30.26420260095825,6000000.0
111051,2022,19,751,1,0,1,0,Nampalys Mendy,1992-06-23,Defensive Midfield,Midfield,right,168.0,31.017111567419576,2500000.0
111195,2022,31,2193,1,1,6,0,Joël Veltman,1992-01-15,Right-Back,Defender,right,184.0,31.45516769336071,10000000.0
111422,2022,17,766,0,3,0,0,Neeskens Kebano,1992-03-10,Left Winger,Attack,right,170.0,31.304585900068446,2000000.0
111455,2022,37,3004,7,7,4,0,Granit Xhaka,1992-09-27,Defensive Midfield,Midfield,left,183.0,30.754277891854894,20000000.0
111819,2022,27,2385,0,0,4,0,Neto,1989-07-19,Goalkeeper,Goalkeeper,right,190.0,33.946611909650926,2500000.0
111873,2022,36,3140,0,0,7,0,Emiliano Martínez,1992-09-02,Goalkeeper,Goalkeeper,right,195.0,30.822724161533195,28000000.0
112988,2022,8,224,0,0,0,0,Cédric Soares,1991-08-31,Right-Back,Defender,right,171.0,31.83025325119781,3000000.0
118534,2022,12,983,1,2,0,0,Michael Keane,1993-01-11,Centre-Back,Defender,right,188.0,30.46406570841889,10000000.0
119150,2022,1,6,0,0,0,0,Mislav Orsic,1992-12-29,Left Winger,Attack,right,179.0,30.49965776865161,5000000.0
119269,2022,5,17,0,0,0,0,Shane Duffy,1992-01-01,Centre-Back,Defender,right,193.0,31.49349760438056,2000000.0
120629,2022,5,307,0,0,0,0,Alphonse Areola,1993-02-27,Goalkeeper,Goalkeeper,right,195.0,30.33538672142368,8000000.0
121257,2022,12,476,0,0,0,0,Adam Forshaw,1991-10-08,Central Midfield,Midfield,right,175.0,31.72621492128679,1200000.0
121477,2022,25,2135,1,0,6,0,Craig Dawson,1990-05-06,Centre-Back,Defender,right,188.0,33.14989733059548,2000000.0
123275,2022,33,972,2,0,2,0,Tom Cairney,1991-01-20,Central Midfield,Midfield,left,185.0,32.440793976728266,2000000.0
123682,2022,31,1887,18,5,4,0,Callum Wilson,1992-02-27,Centre-Forward,Attack,right,180.0,31.33744010951403,16000000.0
125314,2022,12,724,1,0,0,0,Pontus Jansson,1991-02-13,Centre-Back,Defender,right,196.0,32.375085557837096,2500000.0
126664,2022,28,1500,1,0,5,0,Lucas Digne,1993-07-20,Left-Back,Defender,left,178.0,29.94387405886379,15000000.0
126665,2022,33,2593,0,1,7,0,Idrissa Gueye,1989-09-26,Defensive Midfield,Midfield,right,174.0,33.75770020533881,5000000.0
126710,2022,3,136,0,0,1,0,Layvin Kurzawa,1992-09-04,Left-Back,Defender,left,182.0,30.817248459958932,3000000.0
127032,2022,24,1949,1,0,2,0,Serge Aurier,1992-12-24,Right-Back,Defender,right,176.0,30.51334702258727,8000000.0
127187,2022,25,1530,5,2,6,1,Abdoulaye Doucouré,1993-01-01,Attacking Midfield,Midfield,right,183.0,30.491444216290212,12000000.0
128900,2022,4,12,0,0,0,1,Nathaniel Chalobah,1994-12-12,Defensive Midfield,Midfield,right,185.0,28.54757015742642,1800000.0
128901,2022,24,2095,1,1,2,0,Conor Coady,1993-02-25,Centre-Back,Defender,right,185.0,30.340862422997947,12000000.0
129078,2022,1,1,0,0,0,0,Nathan Redmond,1994-03-06,Right Winger,Attack,right,173.0,29.31690622861054,10000000.0
129588,2022,22,640,1,0,1,0,Dennis Praet,1994-05-14,Central Midfield,Midfield,right,181.0,29.127994524298426,7000000.0
130164,2022,37,3330,0,1,5,0,Jordan Pickford,1994-03-07,Goalkeeper,Goalkeeper,left,185.0,29.31416837782341,22000000.0
130765,2022,32,1405,2,1,6,0,Stuart Armstrong,1992-03-30,Central Midfield,Midfield,right,183.0,31.249828884325805,4500000.0
131505,2022,31,1943,13,1,6,0,Rodrigo,1991-03-06,Centre-Forward,Attack,left,182.0,32.31759069130732,6000000.0
131789,2022,25,1212,11,4,0,0,Roberto Firmino,1991-10-02,Centre-Forward,Attack,right,181.0,31.742642026009584,18000000.0
131996,2022,8,226,2,0,1,0,Bertrand Traoré,1995-09-06,Right Winger,Attack,left,181.0,27.813826146475016,12000000.0
132098,2022,38,3408,30,3,6,0,Harry Kane,1993-07-28,Centre-Forward,Attack,right,188.0,29.921971252566735,90000000.0
134270,2022,38,3116,1,0,5,0,Dan Burn,1992-05-09,Centre-Back,Defender,left,201.0,31.140314852840522,10000000.0
134294,2022,35,1589,8,2,4,0,Danny Ings,1992-07-23,Centre-Forward,Attack,right,177.0,30.934976043805612,12000000.0
134425,2022,28,1902,6,3,4,0,Raheem Sterling,1994-12-08,Right Winger,Attack,right,170.0,28.55852156057495,55000000.0
135343,2022,36,3210,1,3,7,0,Fabian Schär,1991-12-20,Centre-Back,Defender,right,186.0,31.526351813826146,10000000.0
135853,2022,10,244,1,0,0,0,Manuel Lanzini,1993-02-15,Attacking Midfield,Midfield,right,170.0,30.368240930869266,6000000.0
136401,2022,2,180,0,0,0,0,Daniel Bentley,1993-07-13,Goalkeeper,Goalkeeper,,193.0,29.963039014373717,2000000.0
139208,2022,32,2835,3,1,3,0,Virgil van Dijk,1991-07-08,Centre-Back,Defender,right,195.0,31.978097193702943,35000000.0
140191,2022,12,531,0,0,1,0,Ryan Fredericks,1992-10-10,Right-Back,Defender,right,181.0,30.718685831622178,1500000.0
141660,2022,17,927,0,0,1,0,Jesse Lingard,1992-12-15,Attacking Midfield,Midfield,right,174.0,30.537987679671456,8000000.0
142310,2022,11,687,0,1,2,0,Willy Boly,1991-02-03,Centre-Back,Defender,right,195.0,32.40246406570842,2500000.0
143424,2022,9,335,1,0,0,0,Alex Oxlade-Chamberlain,1993-08-15,Central Midfield,Midfield,right,180.0,29.872689938398356,7000000.0
144028,2022,36,2257,8,13,1,0,Leandro Trossard,1994-12-04,Left Winger,Attack,right,172.0,28.569472963723477,35000000.0
